Keuwl Accelerometer Data File
2019-05-06 18-33-32

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
226.6958160,2.491167,-16.039955,-14.034810,21.458378,130.847504,278.828094
226.7058411,3.107674,-16.503233,-11.421539,20.309256,124.220619,280.664307
226.7158203,3.448848,-17.810467,-8.374918,19.981155,114.780357,280.959198
226.7258453,4.787206,-19.687521,-5.783194,21.070385,105.930450,283.666779
226.7358398,5.731719,-21.149181,-2.056619,22.008411,95.361938,285.163696
226.7460785,5.097255,-22.039824,3.749320,22.930182,80.589294,283.022125
226.7561798,3.533842,-22.681469,7.941567,24.290030,70.916389,278.855652
226.7659760,1.996764,-22.919693,9.446322,24.870312,67.677269,274.979034
226.7758636,1.132457,-22.863430,9.329007,24.719412,67.827522,272.835632
226.7858276,-0.243011,-23.641544,8.822633,25.235304,69.536247,269.411072
226.7962952,-2.826355,-25.073277,9.787497,27.063862,68.798775,263.568542
226.8064117,-5.189432,-25.030182,11.049241,27.848267,66.623848,258.286987
226.8159332,-6.512228,-22.505495,13.730747,27.155844,59.626972,253.861588
226.8262329,-6.974309,-18.866310,16.145300,25.792429,51.246548,249.712158
226.8360596,-5.583278,-14.371196,14.988900,21.502823,45.807873,248.768616
226.8460693,-4.058172,-11.262324,11.731588,16.761232,45.579094,250.184311
226.8562164,-3.159149,-9.534908,3.402161,10.605159,71.288544,251.668701
226.8666077,-3.023877,-9.063251,-9.364920,13.378642,134.426224,251.549164
226.8766937,-3.568558,-8.798691,-10.872070,14.434455,138.868576,247.923599
226.8862305,-2.020706,-8.427590,-8.176199,11.914603,133.332687,256.516571
226.8961487,-0.298078,-7.900866,0.241814,7.910183,88.248192,267.839417
226.9079590,1.113304,-6.918046,7.107188,9.980527,44.593521,279.142090
226.9167938,2.110489,-4.944026,7.929596,9.579982,34.134193,293.116486
226.9276123,2.946065,-2.445677,6.227319,7.310276,31.585644,320.302216
226.9362183,3.062184,0.021548,5.647922,6.424676,28.466211,0.403169
226.9460754,2.092532,2.233790,7.096414,7.728363,23.331350,46.870087
226.9559479,0.458490,3.391387,8.400057,9.070428,22.166296,82.300728
226.9659271,-1.243788,3.537433,9.567230,10.275813,21.401915,109.372055
226.9759369,-2.475605,3.186682,10.321404,11.082190,21.353664,127.842186
226.9861298,-3.588908,2.396596,10.275913,11.145328,22.780800,146.265854
226.9958344,-4.205415,1.721431,10.548853,11.485954,23.304794,157.738907
227.0058136,-4.248511,0.920571,10.536881,11.398385,22.419121,167.774109
227.0158691,-3.836708,-0.231040,10.353725,11.044154,20.366657,183.446106
227.0258331,-3.017891,-1.471237,9.330204,9.915892,19.790924,205.989456
227.0358734,-1.946486,-2.892196,6.107608,7.032530,29.717575,236.058929
227.0458069,-1.928530,-5.335478,-6.988675,9.001562,140.930740,250.127411
227.0558777,-1.721431,-11.733982,-23.105244,25.971176,152.829239,261.653961
227.0658264,0.076614,-20.775684,-19.275719,28.340576,132.855026,270.211304
227.0758820,-2.803610,-28.408400,-19.993979,34.851925,125.007500,264.363770
227.0858765,-4.017470,-26.485857,-21.362265,34.263496,128.569977,261.374908
227.0958557,-2.980781,-19.355923,-17.275362,26.114651,131.415894,261.245331
227.1063232,-1.977611,-13.202826,-12.660539,18.398771,133.481369,261.481171
227.1160278,-1.946486,-13.132196,-12.902353,18.512539,134.182983,261.568878
227.1260834,0.219069,-18.077419,-10.867282,21.093575,121.010422,270.694305
227.1361237,1.887828,-22.877794,-1.241394,22.989094,93.095436,274.717255
227.1459808,2.196680,-21.948845,8.080431,23.491926,69.881294,275.715240
227.1562195,2.184709,-13.941437,12.532449,18.873232,48.391819,278.906158
227.1662445,1.066617,-5.688623,13.581109,14.762948,23.081869,280.619659
227.1762848,-0.715866,-0.314838,12.282255,12.307127,3.643251,203.739853
227.1859436,-3.776853,2.041057,9.002198,9.973470,25.496115,151.612686
227.1961670,-8.026561,2.239776,5.509058,9.989594,56.531418,164.408478
227.2070923,-12.133814,-3.417723,11.591528,17.125238,47.400608,195.730896
227.2161713,-13.183672,-9.423578,14.099454,21.480402,48.975109,215.556870
227.2263031,-12.208035,-13.836092,12.496535,22.285353,55.892242,228.576996
227.2358704,-9.876082,-15.624560,9.783905,20.913839,62.107140,237.703552
227.2460480,-7.120356,-15.148114,6.985084,18.137150,67.348450,244.824173
227.2559967,-3.669114,-13.369223,5.254076,14.825783,69.244072,254.653320
227.2659607,-0.976834,-11.963826,3.939659,12.633615,71.829887,265.332214
227.2762146,-0.430956,-12.006922,3.654749,12.558228,73.080711,267.944397
227.2858582,-1.419762,-13.729549,3.866636,14.334125,74.350586,264.096069
227.2960358,-1.657985,-15.860389,2.870648,16.203131,79.795258,264.032196
227.3059235,-0.955287,-17.002424,1.278504,17.077166,85.706459,266.784210
227.3161621,0.337582,-16.620548,-0.049081,16.624048,90.169159,271.163574
227.3264923,2.126051,-14.924256,-0.331597,15.078577,91.260109,278.107574
227.3364868,4.392163,-12.398374,0.387861,13.159073,88.310974,289.506836
227.3463287,6.746861,-9.929952,1.455675,12.093100,83.086411,304.193970
227.3564453,7.173028,-8.312668,12.852075,16.903509,40.507595,310.791016
227.3663330,7.173028,-8.312668,11.743559,16.076815,43.074566,310.791016
227.3761292,7.442376,-8.755595,6.069301,12.995607,62.158508,310.364990
227.3880920,9.184157,-11.487380,0.742203,14.726151,87.111053,308.642334
227.3959351,9.184157,-11.487380,0.742203,14.726151,87.111053,308.642334
227.4072723,8.627506,-10.031705,-5.421670,14.299072,112.281807,310.696320
227.4160919,8.627506,-10.031705,-5.421670,14.299072,112.281807,310.696320
227.4271851,7.964312,-8.662222,-10.146626,15.537644,130.770828,312.596375
227.4360657,6.364985,-8.599973,-10.146626,14.745392,133.481613,306.505768
227.4460449,4.046201,-9.105149,-11.528081,15.237196,139.163177,293.959686
227.4561462,2.110489,-9.154230,-10.165780,13.841863,137.258469,282.982574
227.4662018,0.914585,-8.847773,-7.515399,11.644774,130.194778,275.901642
227.4762268,0.055067,-8.701726,-4.459201,9.777910,117.132416,270.362579
227.4868622,-0.689530,-8.904037,-1.714248,9.093732,100.865768,265.571838
227.4966736,-1.205481,-9.545682,-0.008380,9.621502,90.049904,262.802490
227.5059509,-1.508347,-10.548853,0.803255,10.686376,85.689224,261.862610
227.5161438,-1.491588,-11.692084,1.229423,11.850787,84.045319,262.729919
