Keuwl Accelerometer Data File
2019-04-23 13-21-05

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.4758704,9.138668,-6.758832,2.262521,11.589480,78.742310,323.513885
1.4858383,9.513360,-7.692570,2.215834,12.433405,79.734123,321.040741
1.4963566,10.034100,-8.494628,2.397793,13.363804,79.663765,319.749542
1.5099157,11.753136,-9.117120,3.475184,15.275306,76.849869,322.198608
1.5160127,11.753136,-9.579201,3.475184,15.555519,77.090881,320.818817
1.5258260,12.795811,-9.800665,4.053383,16.619738,75.883774,322.550507
1.5358480,13.729549,-9.763555,4.514267,17.441505,74.999748,324.582062
1.5456816,14.259866,-9.470264,4.730943,17.759827,74.550766,326.411072
1.5584676,14.308947,-9.051279,5.048174,17.667927,73.397789,327.684143
1.5656962,14.071920,-8.306683,5.048174,17.102747,72.832420,329.446564
1.5754657,13.658920,-7.268796,5.383362,16.382372,70.815750,331.979675
1.5858356,13.281834,-6.040571,5.622783,15.636857,68.925278,335.543976
1.5955064,13.147758,-4.620809,5.954380,15.154870,66.864807,340.635864
1.6056104,13.055582,-3.088520,6.265626,14.806932,64.966072,346.690399
1.6158423,12.804191,-1.734599,6.326678,14.386904,63.911907,352.285034
1.6254822,12.352883,-0.841562,6.003461,13.760214,64.132515,356.102661
1.6351745,11.755530,-0.240617,5.606023,13.026047,64.508942,358.827423
1.6451406,11.092337,0.215478,5.187038,12.247111,64.942253,1.112880
1.6551942,10.457873,0.588974,4.740520,11.497240,65.649467,3.223418
1.6651965,9.847352,0.824802,4.236540,10.751693,66.794220,4.787851
1.6754843,9.391256,0.982820,3.772065,10.168092,68.224503,5.974407
1.6854792,9.103952,1.145625,3.476381,9.812218,69.250000,7.172301
1.6953524,8.944737,1.259350,3.319561,9.623605,69.821899,8.014128
1.7051799,8.845378,1.274912,3.412935,9.566307,69.098274,8.201738
1.7151946,8.696938,1.266533,3.693056,9.533073,67.207550,8.285722
1.7253852,8.524555,1.261744,3.888184,9.453995,65.715103,8.419387
1.7353846,8.446744,1.358709,4.198233,9.529886,63.862083,9.138091
1.7451379,8.329428,1.389834,4.548983,9.591885,61.689255,9.473004
1.7550960,8.007407,1.322796,4.666299,9.361769,60.103020,9.380350
1.7650837,7.593211,1.221043,4.568137,8.945148,59.290649,9.135365
1.7753768,7.210138,1.109712,4.352659,8.494892,59.177147,8.749737
1.7858617,6.930017,0.902614,4.060566,8.082577,59.842079,7.420830
1.7953997,6.797139,0.620098,3.833117,7.828053,60.681488,5.212625
1.8051537,6.871359,0.153229,3.585317,7.752003,62.451324,1.277464
1.8151687,7.162254,-0.480037,3.451242,7.964885,64.322372,356.165588
1.8254418,7.723695,-1.102530,3.526659,8.562030,65.676056,351.876129
1.8355367,8.625112,-1.750161,3.732560,9.559688,67.017624,348.529572
1.8458074,9.605537,-2.567781,3.979163,10.709509,68.188499,345.033478
1.8553809,10.487801,-3.696647,4.153940,11.870736,69.516899,340.583923
